Title;Release date;Country;Director;Writer;Rating;ImdbUrl
Howl's Moving Castle;2004;;;;8;http://www.imdb.com/title/tt0347149/
La Strada;1954;;;;8;http://www.imdb.com/title/tt0047528/
The Hustler;1961;;;;8;http://www.imdb.com/title/tt0054997/
The Wild Bunch;1969;;;;8;http://www.imdb.com/title/tt0065214/
Stalag 17;1953;;;;8;http://www.imdb.com/title/tt0046359/
Rocky;1976;;;;8;http://www.imdb.com/title/tt0075148/
District 9;2009;;;;8;http://www.imdb.com/title/tt1136608/
The Exorcist;1973;;;;8;http://www.imdb.com/title/tt0070047/
A Beautiful Mind;2001;;;;8;http://www.imdb.com/title/tt0268978/
Rope;1948;;;;8;http://www.imdb.com/title/tt0040746/
Barry Lyndon;1975;;;;8;http://www.imdb.com/title/tt0072684/
The Man Who Shot Liberty Valance;1962;;;;8;http://www.imdb.com/title/tt0056217/
Stalker;1979;;;;8;http://www.imdb.com/title/tt0079944/
Ratatouille;2007;;;;8;http://www.imdb.com/title/tt0382932/
Roman Holiday;1953;;;;8;http://www.imdb.com/title/tt0046250/
Infernal Affairs;2002;;;;8;http://www.imdb.com/title/tt0338564/
The Diving Bell and the Butterfly;2007;;;;8;http://www.imdb.com/title/tt0401383/
A Streetcar Named Desire;1951;;;;8;http://www.imdb.com/title/tt0044081/
The Truman Show;1998;;;;8;http://www.imdb.com/title/tt0120382/
Harry Potter and the Deathly Hallows: Part 2;2011;;;;8;http://www.imdb.com/title/tt1201607/
Ip Man;2008;;;;8;http://www.imdb.com/title/tt1220719/
The Wrestler;2008;;;;8;http://www.imdb.com/title/tt1125849/
Pirates of the Caribbean: The Curse of the Black Pearl;2003;;;;8;http://www.imdb.com/title/tt0325980/
Star Trek;2009;;;;8;http://www.imdb.com/title/tt0796366/
A Fistful of Dollars;1964;;;;8;http://www.imdb.com/title/tt0058461/
Beauty and the Beast;1991;;;;8;http://www.imdb.com/title/tt0101414/
Rosemary's Baby;1968;;;;8;http://www.imdb.com/title/tt0063522/
Harvey;1950;;;;8;http://www.imdb.com/title/tt0042546/
Monsters, Inc.;2001;;;;8;http://www.imdb.com/title/tt0198781/
Bringing Up Baby;1938;;;;8;http://www.imdb.com/title/tt0029947/
In the Name of the Father;1993;;;;8;http://www.imdb.com/title/tt0107207/
All Quiet on the Western Front;1930;;;;8;http://www.imdb.com/title/tt0020629/
Shadow of a Doubt;1943;;;;8;http://www.imdb.com/title/tt0036342/
Nausica? of the Valley of the Wind;1984;;;;8;http://www.imdb.com/title/tt0087544/
Nosferatu;1922;;;;8;http://www.imdb.com/title/tt0013442/
Manhattan;1979;;;;8;http://www.imdb.com/title/tt0079522/
Spring, Summer, Fall, Winter... and Spring;2003;;;;8;http://www.imdb.com/title/tt0374546/
Rain Man;1988;;;;8;http://www.imdb.com/title/tt0095953/
La Haine;1995;;;;8;http://www.imdb.com/title/tt0113247/
Mystic River;2003;;;;8;http://www.imdb.com/title/tt0327056/
Shutter Island;2010;;;;8;http://www.imdb.com/title/tt1130884/
Let the Right One In;2008;;;;8;http://www.imdb.com/title/tt1139797/
Big Fish;2003;;;;8;http://www.imdb.com/title/tt0319061/
Arsenic and Old Lace;1944;;;;8;http://www.imdb.com/title/tt0036613/
La Dolce Vita;1960;;;;8;http://www.imdb.com/title/tt0053779/
Rio Bravo;1959;;;;8;http://www.imdb.com/title/tt0053221/
In the Heat of the Night;1967;;;;8;http://www.imdb.com/title/tt0061811/
The Searchers;1956;;;;8;http://www.imdb.com/title/tt0049730/
Castle in the Sky;1986;;;;8;http://www.imdb.com/title/tt0092067/
The Untouchables;1987;;;;8;http://www.imdb.com/title/tt0094226/
The Nightmare Before Christmas;1993;;;;8;http://www.imdb.com/title/tt0107688/
Ed Wood;1994;;;;8;http://www.imdb.com/title/tt0109707/
His Girl Friday;1940;;;;8;http://www.imdb.com/title/tt0032599/
King Kong;1933;;;;8;http://www.imdb.com/title/tt0024216/
Patton;1970;;;;8;http://www.imdb.com/title/tt0066206/
Papillon;1973;;;;8;http://www.imdb.com/title/tt0070511/
